year,month,day,Upwelling (m^2/s)
1989,  10,  24,-0.1417
1989,  10,  25,0.7356
1989,  10,  26,0.0607
1989,  10,  27,0.2298
1989,  10,  28,0.5741
1989,  10,  29,0.0505
1989,  10,  30,-0.3764
1989,  10,  31,-0.0882
1989,  11,   1,0.1170
1989,  11,   2,0.0399
1989,  11,   3,0.3441
1989,  11,   4,0.6245
1989,  11,   5,0.9523
1989,  11,   6,0.4108
1989,  11,   7,0.8275
1989,  11,   8,0.5195
1989,  11,   9,0.1141
1989,  11,  10,0.2836
1989,  11,  11,0.4366
1989,  11,  12,0.5554
1989,  11,  13,0.5785
1989,  11,  14,0.2692
1989,  11,  15,0.1768
1989,  11,  16,0.0814
1989,  11,  17,0.5007
1989,  11,  18,0.0600
1989,  11,  19,-0.1584
1989,  11,  20,0.0194
1989,  11,  21,0.7031
1989,  11,  22,0.4536
1989,  11,  23,0.2601
1989,  11,  24,0.1270
1989,  11,  25,-0.4031
1989,  11,  26,0.6648
1989,  11,  27,0.2374
1989,  11,  28,-0.5875
1989,  11,  29,-0.3854
1989,  11,  30,-0.1807
1989,  12,   1,-0.0766
1989,  12,   2,0.0016
1989,  12,   3,-0.1110
1989,  12,   4,0.0636
1989,  12,   5,0.9472
1989,  12,   6,0.7093
1989,  12,   7,0.1006
1989,  12,   8,0.0383
1989,  12,   9,0.2582
1989,  12,  10,0.1242
1989,  12,  11,-0.3759
1989,  12,  12,-0.4566
1989,  12,  13,-0.1309
1989,  12,  14,-0.2326
1989,  12,  15,-0.0863
1989,  12,  16,-0.0264
1989,  12,  17,-0.0034
1989,  12,  18,0.0357
1989,  12,  19,-0.1879
1989,  12,  20,0.1186
1989,  12,  21,0.1594
1989,  12,  22,0.0846
1989,  12,  23,-0.0945
1989,  12,  24,-0.0534
1989,  12,  25,-0.0730
1989,  12,  26,-0.1946
1989,  12,  27,0.1003
1989,  12,  28,0.2642
1989,  12,  29,0.7935
1989,  12,  30,0.0858
1989,  12,  31,0.3739
1990,   1,   1,0.2122
1990,   1,   2,1.6844
1990,   1,   3,1.2368
1990,   1,   4,0.1564
1990,   1,   5,0.5850
1990,   1,   6,0.3787
1990,   1,   7,0.0110
1990,   1,   8,-0.0777
1990,   1,   9,0.0774
1990,   1,  10,-0.0120
1990,   1,  11,-0.5836
1990,   1,  12,-1.6739
1990,   1,  13,-0.7979
1990,   1,  14,-0.0031
1990,   1,  15,0.6927
1990,   1,  16,0.7258
1990,   1,  17,0.6479
1990,   1,  18,0.2202
1990,   1,  19,-0.0517
1990,   1,  20,-0.5687
1990,   1,  21,0.1623
1990,   1,  22,0.3356
1990,   1,  23,0.2772
1990,   1,  24,0.3055
1990,   1,  25,-0.2638
1990,   1,  26,0.9974
1990,   1,  27,1.2518
1990,   1,  28,0.2600
1990,   1,  29,0.7027
1990,   1,  30,0.4244
1990,   1,  31,1.1235
1990,   2,   1,0.7230
1990,   2,   2,0.8598
1990,   2,   3,-0.2874
1990,   2,   4,1.1928
1990,   2,   5,0.9420
1990,   2,   6,0.5875
1990,   2,   7,1.3229
1990,   2,   8,0.8276
1990,   2,   9,0.1606
1990,   2,  10,0.3340
1990,   2,  11,0.3152
1990,   2,  12,1.1587
1990,   2,  13,2.0881
1990,   2,  14,2.0524
1990,   2,  15,0.6259
1990,   2,  16,-0.3699
1990,   2,  17,0.2686
1990,   2,  18,0.3768
1990,   2,  19,0.2595
1990,   2,  20,-0.1365
1990,   2,  21,0.0273
1990,   2,  22,-0.0349
1990,   2,  23,0.0354
1990,   2,  24,0.3588
1990,   2,  25,0.8605
1990,   2,  26,0.8487
1990,   2,  27,0.3221
1990,   2,  28,0.2635
1990,   3,   1,0.1340
1990,   3,   2,-0.1715
1990,   3,   3,-0.2931
1990,   3,   4,0.1710
1990,   3,   5,1.5273
1990,   3,   6,0.8000
1990,   3,   7,0.4847
1990,   3,   8,1.1716
1990,   3,   9,1.2347
1990,   3,  10,0.5714
1990,   3,  11,1.2827
1990,   3,  12,0.9006
1990,   3,  13,0.8039
1990,   3,  14,0.4854
1990,   3,  15,0.2598
1990,   3,  16,0.2516
1990,   3,  17,0.0560
1990,   3,  18,0.7246
1990,   3,  19,0.9165
1990,   3,  20,0.6559
1990,   3,  21,0.8628
1990,   3,  22,0.8494
1990,   3,  23,0.9299
1990,   3,  24,1.1969
1990,   3,  25,0.8912
1990,   3,  26,0.9305
1990,   3,  27,0.8430
1990,   3,  28,0.0624
1990,   3,  29,0.0710
1990,   3,  30,0.0427
1990,   3,  31,0.1357
1990,   4,   1,0.3546
1990,   4,   2,0.4454
1990,   4,   3,0.0447
1990,   4,   4,-0.0185
1990,   4,   5,-0.0187
1990,   4,   6,-0.0442
1990,   4,   7,-0.0371
1990,   4,   8,-0.0406
1990,   4,   9,0.2967
1990,   4,  10,0.4715
1990,   4,  11,0.6347
1990,   4,  12,0.8452
1990,   4,  13,0.7162
1990,   4,  14,-0.0438
1990,   4,  15,-0.2291
1990,   4,  16,-0.6065
1990,   4,  17,0.1589
1990,   4,  18,0.6182
1990,   4,  19,0.4157
1990,   4,  20,0.2441
1990,   4,  21,0.6709
1990,   4,  22,0.7176
1990,   4,  23,0.4034
1990,   4,  24,2.2515
1990,   4,  25,2.2821
1990,   4,  26,1.8880
1990,   4,  27,1.6985
1990,   4,  28,1.6835
1990,   4,  29,2.6655
1990,   4,  30,2.1005
1990,   5,   1,0.7600
1990,   5,   2,0.2947
1990,   5,   3,-0.0773
1990,   5,   4,0.0055
1990,   5,   5,0.1869
1990,   5,   6,1.2177
1990,   5,   7,1.3804
1990,   5,   8,0.1901
1990,   5,   9,-0.3165
1990,   5,  10,-0.1206
1990,   5,  11,1.1809
1990,   5,  12,1.1218
1990,   5,  13,0.8533
1990,   5,  14,1.2148
1990,   5,  15,0.9552
1990,   5,  16,0.8927
1990,   5,  17,0.9468
1990,   5,  18,0.6729
1990,   5,  19,0.3933
1990,   5,  20,-0.3767
1990,   5,  21,-0.0878
1990,   5,  22,-0.1400
1990,   5,  23,0.2657
1990,   5,  24,0.7505
1990,   5,  25,0.6850
1990,   5,  26,0.1636
1990,   5,  27,-0.6378
1990,   5,  28,-0.0933
1990,   5,  29,0.2445
1990,   5,  30,-0.0081
1990,   5,  31,0.1797
1990,   6,   1,0.4726
1990,   6,   2,0.6109
1990,   6,   3,0.6347
1990,   6,   4,1.0027
1990,   6,   5,1.2180
1990,   6,   6,0.4915
1990,   6,   7,0.9466
1990,   6,   8,1.2828
1990,   6,   9,0.9558
1990,   6,  10,0.6961
1990,   6,  11,1.2184
1990,   6,  12,1.4793
1990,   6,  13,1.4346
1990,   6,  14,0.2177
1990,   6,  15,0.0787
1990,   6,  16,0.4502
1990,   6,  17,1.0932
1990,   6,  18,0.4588
1990,   6,  19,0.6203
1990,   6,  20,0.2404
1990,   6,  21,-0.0368
1990,   6,  22,-0.0492
1990,   6,  23,0.4856
1990,   6,  24,0.9857
1990,   6,  25,1.0744
1990,   6,  26,1.1754
1990,   6,  27,1.1109
1990,   6,  28,1.1687
